year,scenario_demand_TWh,solar_capacity_GW,solar_generation_TWh
2026,2000.0,168.04,294.40608000000003
2027,2090.0,227.46571428571428,398.51993142857145
2028,2184.0499999999997,286.89142857142855,502.6337828571429
2029,2282.3322499999995,346.31714285714287,606.7476342857144
2030,2385.0372012499993,405.74285714285713,710.8614857142858
2031,2492.363875306249,465.16857142857145,814.9753371428573
2032,2604.5202496950305,524.5942857142858,919.0891885714287
2033,2721.7236609313063,584.02,1023.20304
2034,2844.2012256732146,643.4457142857143,1127.3168914285714
2035,2972.190280828509,702.8714285714285,1231.4307428571428
2036,3105.938843465792,762.2971428571428,1335.5445942857145
2037,3245.7060914217527,821.7228571428572,1439.6584457142858
2038,3391.762865535731,881.1485714285715,1543.7722971428573
2039,3544.3921944848385,940.5742857142857,1647.8861485714285
2040,3703.8898432366564,1000.0,1752.0
